time/s	<Ewe/V>	I/mA	
4.939143286318227E+003	2.9090271E+000	9.6471085E+001
4.939243286317025E+003	2.9094064E+000	9.6496544E+001
4.939343286315809E+003	2.9111338E+000	9.6528389E+001
4.939443286314607E+003	2.9093790E+000	9.6502914E+001
4.939543286313390E+003	2.9115703E+000	9.6496544E+001
4.939643286312174E+003	2.9123075E+000	9.6420143E+001
4.939743286310972E+003	2.9112647E+000	9.6420143E+001
4.939843286309755E+003	2.9108310E+000	9.6553848E+001
4.939943286308553E+003	2.9099939E+000	9.6471085E+001
4.940043286307337E+003	2.9110672E+000	9.6553848E+001
4.940143286306120E+003	2.9097373E+000	9.6547485E+001
4.940243286304918E+003	2.9091704E+000	9.6560219E+001
4.940343286303701E+003	2.9096613E+000	9.6477440E+001
4.940443286302499E+003	2.9074695E+000	9.6496544E+001
4.940543286301283E+003	2.9082441E+000	9.6483818E+001
